user_id,govtrack,title,short_title,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,state
3026622545,412664,Delegate,Del.,Amata,Coleman,Radewagen,NA,1947-12-29,F,R,AS
234128524,412428,"Senator, 3rd Class",Sen.,Todd,NA,Young,NA,1972-08-24,M,R,IN
2856787757,412667,"Senator, 2nd Class",Sen.,Joni,NA,Ernst,NA,1970-07-01,F,R,IA
2964174789,412668,"Senator, 2nd Class",Sen.,Thom,NA,Tillis,NA,1960-08-30,M,R,NC
252819642,412430,Representative,Rep.,Kevin,NA,Yoder,NA,1976-01-08,M,R,KS
384913290,412211,Representative,Rep.,John,NA,Yarmuth,NA,1947-11-04,M,D,KY
37007274,400440,Representative,Rep.,Don,NA,Young,NA,1933-06-09,M,R,AK
234469322,412402,Representative,Rep.,Steve,NA,Womack,NA,1957-02-18,M,R,AR
234014087,412412,Representative,Rep.,Frederica,NA,Wilson,NA,1942-11-05,F,D,FL
281540744,412410,Representative,Rep.,Daniel,NA,Webster,NA,1949-04-27,M,R,FL
7429102,412321,"Senator, 2nd Class",Sen.,Mark,NA,Warner,NA,1954-12-15,M,D,VA
15356407,412255,Representative,Rep.,Robert,J.,Wittman,NA,1959-02-03,M,R,VA
242555999,412247,"Senator, 1st Class",Sen.,Sheldon,NA,Whitehouse,NA,1955-10-20,M,D,RI
1410590874,412239,Representative,Rep.,Peter,NA,Welch,NA,1947-05-02,M,D,VT
237862972,412213,Representative,Rep.,Tim,NA,Walberg,NA,1951-04-12,M,R,MI
1140648348,400623,Representative,Rep.,Debbie,NA,Wasserman Schultz,NA,1966-09-27,F,D,FL
254082173,400433,Representative,Rep.,Joe,NA,Wilson,NA,1947-07-31,M,R,SC
32010840,400419,Representative,Rep.,Greg,NA,Walden,NA,1957-01-10,M,R,OR
250188760,300100,"Senator, 3rd Class",Sen.,Ron,NA,Wyden,NA,1949-05-03,M,D,OR
264219447,400432,"Senator, 1st Class",Sen.,Roger,NA,Wicker,NA,1951-07-05,M,R,MS
36686040,400422,Representative,Rep.,Maxine,NA,Waters,NA,1938-08-15,F,D,CA
18137749,400415,"Senator, 3rd Class",Sen.,Chris,NA,Van Hollen,NA,1959-01-10,M,D,MD
193872188,400417,Representative,Rep.,Peter,J.,Visclosky,NA,1949-08-13,M,D,IN
164369297,400416,Representative,Rep.,Nydia,M.,Velázquez,NA,1953-03-28,F,D,NY
60828944,400413,"Senator, 2nd Class",Sen.,Tom,NA,Udall,NA,1948-05-18,M,D,NM
